Year,State,Type,Length,Expense,Value
2015,District of Columbia,Private,4-year,Fees/Tuition,37949
2015,District of Columbia,Private,4-year,Room/Board,13907
2015,District of Columbia,Public In-State,4-year,Fees/Tuition,5251
2015,District of Columbia,Public Out-of-State,4-year,Fees/Tuition,11233
2015,Florida,Private,4-year,Fees/Tuition,21578
2015,Florida,Private,4-year,Room/Board,10840
2015,Florida,Public In-State,2-year,Fees/Tuition,2383
2015,Florida,Public In-State,4-year,Fees/Tuition,4456
2015,Florida,Public In-State,4-year,Room/Board,10221
2015,Florida,Public Out-of-State,2-year,Fees/Tuition,8862
2015,Florida,Public Out-of-State,4-year,Fees/Tuition,17771
2015,Florida,Public Out-of-State,4-year,Room/Board,10221
2015,Georgia,Private,4-year,Fees/Tuition,24493
2015,Georgia,Private,4-year,Room/Board,11614
2015,Georgia,Public In-State,2-year,Fees/Tuition,3177
2015,Georgia,Public In-State,4-year,Fees/Tuition,6753
2015,Georgia,Public In-State,4-year,Room/Board,9770
2015,Georgia,Public Out-of-State,2-year,Fees/Tuition,7769
2015,Georgia,Public Out-of-State,4-year,Fees/Tuition,21739
2015,Georgia,Public Out-of-State,4-year,Room/Board,9770
2015,Hawaii,Private,4-year,Fees/Tuition,15233
2015,Hawaii,Private,4-year,Room/Board,12251
2015,Hawaii,Public In-State,2-year,Fees/Tuition,2800
2015,Hawaii,Public In-State,4-year,Fees/Tuition,8831
2015,Hawaii,Public In-State,4-year,Room/Board,10300
2015,Hawaii,Public Out-of-State,2-year,Fees/Tuition,7646
2015,Hawaii,Public Out-of-State,4-year,Fees/Tuition,26150
2015,Hawaii,Public Out-of-State,4-year,Room/Board,10300
2015,Idaho,Private,4-year,Fees/Tuition,6456
2015,Idaho,Private,4-year,Room/Board,6552
2015,Idaho,Public In-State,2-year,Fees/Tuition,3023
2015,Idaho,Public In-State,4-year,Fees/Tuition,6834
2015,Idaho,Public In-State,4-year,Room/Board,6810
2015,Idaho,Public Out-of-State,2-year,Fees/Tuition,7336
2015,Idaho,Public Out-of-State,4-year,Fees/Tuition,19633
2015,Idaho,Public Out-of-State,4-year,Room/Board,6810
2015,Illinois,Private,4-year,Fees/Tuition,28481
2015,Illinois,Private,4-year,Room/Board,11297
2015,Illinois,Public In-State,2-year,Fees/Tuition,3499
2015,Illinois,Public In-State,4-year,Fees/Tuition,13084
2015,Illinois,Public In-State,4-year,Room/Board,10707
2015,Illinois,Public Out-of-State,2-year,Fees/Tuition,9871
2015,Illinois,Public Out-of-State,4-year,Fees/Tuition,27672
2015,Illinois,Public Out-of-State,4-year,Room/Board,10707
2015,Indiana,Private,4-year,Fees/Tuition,29050
2015,Indiana,Private,4-year,Room/Board,10079
2015,Indiana,Public In-State,2-year,Fees/Tuition,4055
2015,Indiana,Public In-State,4-year,Fees/Tuition,8633
2015,Indiana,Public In-State,4-year,Room/Board,9760
2015,Indiana,Public Out-of-State,2-year,Fees/Tuition,7932
2015,Indiana,Public Out-of-State,4-year,Fees/Tuition,28035
2015,Indiana,Public Out-of-State,4-year,Room/Board,9760
2015,Iowa,Private,4-year,Fees/Tuition,24076
2015,Iowa,Private,4-year,Room/Board,8534
2015,Iowa,Public In-State,2-year,Fees/Tuition,4355
2015,Iowa,Public In-State,4-year,Fees/Tuition,7858
2015,Iowa,Public In-State,4-year,Room/Board,8851
2015,Iowa,Public Out-of-State,2-year,Fees/Tuition,5548
2015,Iowa,Public Out-of-State,4-year,Fees/Tuition,23778
2015,Iowa,Public Out-of-State,4-year,Room/Board,8851
2015,Kansas,Private,4-year,Fees/Tuition,16635
2015,Kansas,Private,4-year,Room/Board,8020
2015,Kansas,Public In-State,2-year,Fees/Tuition,3015
2015,Kansas,Public In-State,4-year,Fees/Tuition,7726
2015,Kansas,Public In-State,4-year,Room/Board,7858
2015,Kansas,Public Out-of-State,2-year,Fees/Tuition,4197
2015,Kansas,Public Out-of-State,4-year,Fees/Tuition,20155
2015,Kansas,Public Out-of-State,4-year,Room/Board,7858
2015,Kentucky,Private,4-year,Fees/Tuition,23039
2015,Kentucky,Private,4-year,Room/Board,8555
2015,Kentucky,Public In-State,2-year,Fees/Tuition,3650
2015,Kentucky,Public In-State,4-year,Fees/Tuition,9189
2015,Kentucky,Public In-State,4-year,Room/Board,8341
2015,Kentucky,Public Out-of-State,2-year,Fees/Tuition,12478
2015,Kentucky,Public Out-of-State,4-year,Fees/Tuition,21409
2015,Kentucky,Public Out-of-State,4-year,Room/Board,8341
2015,Louisiana,Private,4-year,Fees/Tuition,31175
2015,Louisiana,Private,4-year,Room/Board,11444
2015,Louisiana,Public In-State,2-year,Fees/Tuition,3502
2015,Louisiana,Public In-State,4-year,Fees/Tuition,7296
2015,Louisiana,Public In-State,4-year,Room/Board,8749
2015,Louisiana,Public Out-of-State,2-year,Fees/Tuition,6659
2015,Louisiana,Public Out-of-State,4-year,Fees/Tuition,21409
2015,Louisiana,Public Out-of-State,4-year,Room/Board,8749
2015,Maine,Private,4-year,Fees/Tuition,33205
2015,Maine,Private,4-year,Room/Board,11786
2015,Maine,Public In-State,2-year,Fees/Tuition,3663
2015,Maine,Public In-State,4-year,Fees/Tuition,9166
2015,Maine,Public In-State,4-year,Room/Board,9748
2015,Maine,Public Out-of-State,2-year,Fees/Tuition,6455
2015,Maine,Public Out-of-State,4-year,Fees/Tuition,25273
2015,Maine,Public Out-of-State,4-year,Room/Board,9748
2015,Maryland,Private,4-year,Fees/Tuition,36402
2015,Maryland,Private,4-year,Room/Board,13246
2015,Maryland,Public In-State,2-year,Fees/Tuition,3668
2015,Maryland,Public In-State,4-year,Fees/Tuition,8482
2015,Maryland,Public In-State,4-year,Room/Board,10892
2015,Maryland,Public Out-of-State,2-year,Fees/Tuition,8841
2015,Maryland,Public Out-of-State,4-year,Fees/Tuition,21031
2015,Maryland,Public Out-of-State,4-year,Room/Board,10892
2015,Massachusetts,Private,4-year,Fees/Tuition,39298
2015,Massachusetts,Private,4-year,Room/Board,13873
2015,Massachusetts,Public In-State,2-year,Fees/Tuition,4333
2015,Massachusetts,Public In-State,4-year,Fees/Tuition,10900
2015,Massachusetts,Public In-State,4-year,Room/Board,11314
2015,Massachusetts,Public Out-of-State,2-year,Fees/Tuition,9742
2015,Massachusetts,Public Out-of-State,4-year,Fees/Tuition,26213
2015,Massachusetts,Public Out-of-State,4-year,Room/Board,11314
2015,Michigan,Private,4-year,Fees/Tuition,20718
2015,Michigan,Private,4-year,Room/Board,8705
2015,Michigan,Public In-State,2-year,Fees/Tuition,3062
2015,Michigan,Public In-State,4-year,Fees/Tuition,11507
2015,Michigan,Public In-State,4-year,Room/Board,9336
2015,Michigan,Public Out-of-State,2-year,Fees/Tuition,6323
2015,Michigan,Public Out-of-State,4-year,Fees/Tuition,33666
2015,Michigan,Public Out-of-State,4-year,Room/Board,9336
2015,Minnesota,Private,4-year,Fees/Tuition,28123
2015,Minnesota,Private,4-year,Room/Board,9561
2015,Minnesota,Public In-State,2-year,Fees/Tuition,5327
2015,Minnesota,Public In-State,4-year,Fees/Tuition,10400
2015,Minnesota,Public In-State,4-year,Room/Board,8327
2015,Minnesota,Public Out-of-State,2-year,Fees/Tuition,5960
2015,Minnesota,Public Out-of-State,4-year,Fees/Tuition,17376
2015,Minnesota,Public Out-of-State,4-year,Room/Board,8327
2015,Mississippi,Private,4-year,Fees/Tuition,15643
2015,Mississippi,Private,4-year,Room/Board,7201
2015,Mississippi,Public In-State,2-year,Fees/Tuition,2518
2015,Mississippi,Public In-State,4-year,Fees/Tuition,6880
2015,Mississippi,Public In-State,4-year,Room/Board,8830
2015,Mississippi,Public Out-of-State,2-year,Fees/Tuition,4676
2015,Mississippi,Public Out-of-State,4-year,Fees/Tuition,17262
2015,Mississippi,Public Out-of-State,4-year,Room/Board,8830
2015,Missouri,Private,4-year,Fees/Tuition,21465
2015,Missouri,Private,4-year,Room/Board,8938
2015,Missouri,Public In-State,2-year,Fees/Tuition,2890
2015,Missouri,Public In-State,4-year,Fees/Tuition,8065
2015,Missouri,Public In-State,4-year,Room/Board,9079
2015,Missouri,Public Out-of-State,2-year,Fees/Tuition,5514
2015,Missouri,Public Out-of-State,4-year,Fees/Tuition,19410
2015,Missouri,Public Out-of-State,4-year,Room/Board,9079
2015,Montana,Private,4-year,Fees/Tuition,21630
2015,Montana,Private,4-year,Room/Board,8006
2015,Montana,Public In-State,2-year,Fees/Tuition,3215
2015,Montana,Public In-State,4-year,Fees/Tuition,6378
2015,Montana,Public In-State,4-year,Room/Board,8070
2015,Montana,Public Out-of-State,2-year,Fees/Tuition,8923
2015,Montana,Public Out-of-State,4-year,Fees/Tuition,21481
2015,Montana,Public Out-of-State,4-year,Room/Board,8070
2015,Nebraska,Private,4-year,Fees/Tuition,20501
2015,Nebraska,Private,4-year,Room/Board,8429
2015,Nebraska,Public In-State,2-year,Fees/Tuition,2743
2015,Nebraska,Public In-State,4-year,Fees/Tuition,7223
2015,Nebraska,Public In-State,4-year,Room/Board,8976
2015,Nebraska,Public Out-of-State,2-year,Fees/Tuition,3743
2015,Nebraska,Public Out-of-State,4-year,Fees/Tuition,18180
2015,Nebraska,Public Out-of-State,4-year,Room/Board,8976
2015,Nevada,Private,4-year,Fees/Tuition,17325
2015,Nevada,Private,4-year,Room/Board,13488
2015,Nevada,Public In-State,2-year,Fees/Tuition,2700
2015,Nevada,Public In-State,4-year,Fees/Tuition,5016
2015,Nevada,Public In-State,4-year,Room/Board,10122
2015,Nevada,Public Out-of-State,2-year,Fees/Tuition,9345
2015,Nevada,Public Out-of-State,4-year,Fees/Tuition,20064
2015,Nevada,Public Out-of-State,4-year,Room/Board,10122
2015,New Hampshire,Private,4-year,Fees/Tuition,31868
2015,New Hampshire,Private,4-year,Room/Board,13128
2015,New Hampshire,Public In-State,2-year,Fees/Tuition,6979
2015,New Hampshire,Public In-State,4-year,Fees/Tuition,14538
2015,New Hampshire,Public In-State,4-year,Room/Board,11283
2015,New Hampshire,Public Out-of-State,2-year,Fees/Tuition,15202
2015,New Hampshire,Public Out-of-State,4-year,Fees/Tuition,26131
2015,New Hampshire,Public Out-of-State,4-year,Room/Board,11283
2015,New Jersey,Private,4-year,Fees/Tuition,32986
2015,New Jersey,Private,4-year,Room/Board,12448
2015,New Jersey,Public In-State,2-year,Fees/Tuition,3982
2015,New Jersey,Public In-State,4-year,Fees/Tuition,12541
2015,New Jersey,Public In-State,4-year,Room/Board,12283
2015,New Jersey,Public Out-of-State,2-year,Fees/Tuition,6926
2015,New Jersey,Public Out-of-State,4-year,Fees/Tuition,26556
2015,New Jersey,Public Out-of-State,4-year,Room/Board,12283
2015,New Mexico,Private,4-year,Fees/Tuition,18779
2015,New Mexico,Private,4-year,Room/Board,9685
2015,New Mexico,Public In-State,2-year,Fees/Tuition,1475
2015,New Mexico,Public In-State,4-year,Fees/Tuition,6003
2015,New Mexico,Public In-State,4-year,Room/Board,8775
2015,New Mexico,Public Out-of-State,2-year,Fees/Tuition,4636
2015,New Mexico,Public Out-of-State,4-year,Fees/Tuition,15285
2015,New Mexico,Public Out-of-State,4-year,Room/Board,8775
2015,New York,Private,4-year,Fees/Tuition,35095
2015,New York,Private,4-year,Room/Board,13749
2015,New York,Public In-State,2-year,Fees/Tuition,4711
2015,New York,Public In-State,4-year,Fees/Tuition,7272
2015,New York,Public In-State,4-year,Room/Board,13277
2015,New York,Public Out-of-State,2-year,Fees/Tuition,8344
2015,New York,Public Out-of-State,4-year,Fees/Tuition,18825
2015,New York,Public Out-of-State,4-year,Room/Board,13277
2015,North Carolina,Private,4-year,Fees/Tuition,28177
2015,North Carolina,Private,4-year,Room/Board,10741
2015,North Carolina,Public In-State,2-year,Fees/Tuition,2355
2015,North Carolina,Public In-State,4-year,Fees/Tuition,6658
2015,North Carolina,Public In-State,4-year,Room/Board,9113
2015,North Carolina,Public Out-of-State,2-year,Fees/Tuition,8269
2015,North Carolina,Public Out-of-State,4-year,Fees/Tuition,22676
2015,North Carolina,Public Out-of-State,4-year,Room/Board,9113
2015,North Dakota,Private,4-year,Fees/Tuition,13255
2015,North Dakota,Private,4-year,Room/Board,6248
2015,North Dakota,Public In-State,2-year,Fees/Tuition,4283
2015,North Dakota,Public In-State,4-year,Fees/Tuition,7050
2015,North Dakota,Public In-State,4-year,Room/Board,7167
2015,North Dakota,Public Out-of-State,2-year,Fees/Tuition,8441
2015,North Dakota,Public Out-of-State,4-year,Fees/Tuition,17316
2015,North Dakota,Public Out-of-State,4-year,Room/Board,7167
2015,Ohio,Private,4-year,Fees/Tuition,27761
2015,Ohio,Private,4-year,Room/Board,10215
2015,Ohio,Public In-State,2-year,Fees/Tuition,3610
2015,Ohio,Public In-State,4-year,Fees/Tuition,9631
2015,Ohio,Public In-State,4-year,Room/Board,10906
2015,Ohio,Public Out-of-State,2-year,Fees/Tuition,7512
2015,Ohio,Public Out-of-State,4-year,Fees/Tuition,22756
2015,Ohio,Public Out-of-State,4-year,Room/Board,10906
2015,Oklahoma,Private,4-year,Fees/Tuition,22309
2015,Oklahoma,Private,4-year,Room/Board,8784
2015,Oklahoma,Public In-State,2-year,Fees/Tuition,3244
2015,Oklahoma,Public In-State,4-year,Fees/Tuition,6345
2015,Oklahoma,Public In-State,4-year,Room/Board,7802
2015,Oklahoma,Public Out-of-State,2-year,Fees/Tuition,7940
2015,Oklahoma,Public Out-of-State,4-year,Fees/Tuition,17633
2015,Oklahoma,Public Out-of-State,4-year,Room/Board,7802
2015,Oregon,Private,4-year,Fees/Tuition,33108
2015,Oregon,Private,4-year,Room/Board,11107
2015,Oregon,Public In-State,2-year,Fees/Tuition,4023
2015,Oregon,Public In-State,4-year,Fees/Tuition,8891
2015,Oregon,Public In-State,4-year,Room/Board,10763
2015,Oregon,Public Out-of-State,2-year,Fees/Tuition,7552
2015,Oregon,Public Out-of-State,4-year,Fees/Tuition,27341
2015,Oregon,Public Out-of-State,4-year,Room/Board,10763
2015,Pennsylvania,Private,4-year,Fees/Tuition,35622
2015,Pennsylvania,Private,4-year,Room/Board,12271
2015,Pennsylvania,Public In-State,2-year,Fees/Tuition,4589
2015,Pennsylvania,Public In-State,4-year,Fees/Tuition,13171
2015,Pennsylvania,Public In-State,4-year,Room/Board,10348
2015,Pennsylvania,Public Out-of-State,2-year,Fees/Tuition,11732
2015,Pennsylvania,Public Out-of-State,4-year,Fees/Tuition,24741
2015,Pennsylvania,Public Out-of-State,4-year,Room/Board,10348
2015,Rhode Island,Private,4-year,Fees/Tuition,36205
2015,Rhode Island,Private,4-year,Room/Board,12665
2015,Rhode Island,Public In-State,2-year,Fees/Tuition,3950
2015,Rhode Island,Public In-State,4-year,Fees/Tuition,10868
2015,Rhode Island,Public In-State,4-year,Room/Board,11162
2015,Rhode Island,Public Out-of-State,2-year,Fees/Tuition,10582
2015,Rhode Island,Public Out-of-State,4-year,Fees/Tuition,27110
2015,Rhode Island,Public Out-of-State,4-year,Room/Board,11162
2015,South Carolina,Private,4-year,Fees/Tuition,22241
2015,South Carolina,Private,4-year,Room/Board,8716
2015,South Carolina,Public In-State,2-year,Fees/Tuition,4061
2015,South Carolina,Public In-State,4-year,Fees/Tuition,11448
2015,South Carolina,Public In-State,4-year,Room/Board,8906
2015,South Carolina,Public Out-of-State,2-year,Fees/Tuition,8537
2015,South Carolina,Public Out-of-State,4-year,Fees/Tuition,27814
2015,South Carolina,Public Out-of-State,4-year,Room/Board,8906
2015,South Dakota,Private,4-year,Fees/Tuition,21018
2015,South Dakota,Private,4-year,Room/Board,7514
2015,South Dakota,Public In-State,2-year,Fees/Tuition,5014
2015,South Dakota,Public In-State,4-year,Fees/Tuition,7744
2015,South Dakota,Public In-State,4-year,Room/Board,7239
2015,South Dakota,Public Out-of-State,2-year,Fees/Tuition,4886
2015,South Dakota,Public Out-of-State,4-year,Fees/Tuition,10923
2015,South Dakota,Public Out-of-State,4-year,Room/Board,7239
2015,Tennessee,Private,4-year,Fees/Tuition,23893
2015,Tennessee,Private,4-year,Room/Board,9290
2015,Tennessee,Public In-State,2-year,Fees/Tuition,3820
2015,Tennessee,Public In-State,4-year,Fees/Tuition,8495
2015,Tennessee,Public In-State,4-year,Room/Board,8651
2015,Tennessee,Public Out-of-State,2-year,Fees/Tuition,14859
2015,Tennessee,Public Out-of-State,4-year,Fees/Tuition,23949
2015,Tennessee,Public Out-of-State,4-year,Room/Board,8651
2015,Texas,Private,4-year,Fees/Tuition,27552
2015,Texas,Private,4-year,Room/Board,10192
2015,Texas,Public In-State,2-year,Fees/Tuition,1948
2015,Texas,Public In-State,4-year,Fees/Tuition,7870
2015,Texas,Public In-State,4-year,Room/Board,9002
2015,Texas,Public Out-of-State,2-year,Fees/Tuition,5398
2015,Texas,Public Out-of-State,4-year,Fees/Tuition,21135
2015,Texas,Public Out-of-State,4-year,Room/Board,9002
2015,Utah,Private,4-year,Fees/Tuition,7747
2015,Utah,Private,4-year,Room/Board,7688
2015,Utah,Public In-State,2-year,Fees/Tuition,3469
2015,Utah,Public In-State,4-year,Fees/Tuition,5942
2015,Utah,Public In-State,4-year,Room/Board,7028
2015,Utah,Public Out-of-State,2-year,Fees/Tuition,11011
2015,Utah,Public Out-of-State,4-year,Fees/Tuition,17899
2015,Utah,Public Out-of-State,4-year,Room/Board,7028
2015,Vermont,Private,4-year,Fees/Tuition,37391
2015,Vermont,Private,4-year,Room/Board,11820
2015,Vermont,Public In-State,2-year,Fees/Tuition,5886
2015,Vermont,Public In-State,4-year,Fees/Tuition,14495
2015,Vermont,Public In-State,4-year,Room/Board,10492
2015,Vermont,Public Out-of-State,2-year,Fees/Tuition,11622
2015,Vermont,Public Out-of-State,4-year,Fees/Tuition,35241
2015,Vermont,Public Out-of-State,4-year,Room/Board,10492
2015,Virginia,Private,4-year,Fees/Tuition,22835
2015,Virginia,Private,4-year,Room/Board,9666
2015,Virginia,Public In-State,2-year,Fees/Tuition,4318
2015,Virginia,Public In-State,4-year,Fees/Tuition,11057
2015,Virginia,Public In-State,4-year,Room/Board,9884
2015,Virginia,Public Out-of-State,2-year,Fees/Tuition,9019
2015,Virginia,Public Out-of-State,4-year,Fees/Tuition,30416
2015,Virginia,Public Out-of-State,4-year,Room/Board,9884
2015,Washington,Private,4-year,Fees/Tuition,32964
2015,Washington,Private,4-year,Room/Board,10322
2015,Washington,Public In-State,2-year,Fees/Tuition,3992
2015,Washington,Public In-State,4-year,Fees/Tuition,8299
2015,Washington,Public In-State,4-year,Room/Board,10564
2015,Washington,Public Out-of-State,2-year,Fees/Tuition,6887
2015,Washington,Public Out-of-State,4-year,Fees/Tuition,28539
2015,Washington,Public Out-of-State,4-year,Room/Board,10564
2015,West Virginia,Private,4-year,Fees/Tuition,11055
2015,West Virginia,Private,4-year,Room/Board,8626
2015,West Virginia,Public In-State,2-year,Fees/Tuition,3628
2015,West Virginia,Public In-State,4-year,Fees/Tuition,6420
2015,West Virginia,Public In-State,4-year,Room/Board,9223
2015,West Virginia,Public Out-of-State,2-year,Fees/Tuition,8215
2015,West Virginia,Public Out-of-State,4-year,Fees/Tuition,17882
2015,West Virginia,Public Out-of-State,4-year,Room/Board,9223
2015,Wisconsin,Private,4-year,Fees/Tuition,28094
2015,Wisconsin,Private,4-year,Room/Board,9322
2015,Wisconsin,Public In-State,2-year,Fees/Tuition,4323
2015,Wisconsin,Public In-State,4-year,Fees/Tuition,8441
2015,Wisconsin,Public In-State,4-year,Room/Board,7496
2015,Wisconsin,Public Out-of-State,2-year,Fees/Tuition,7220
2015,Wisconsin,Public Out-of-State,4-year,Fees/Tuition,20020
2015,Wisconsin,Public Out-of-State,4-year,Room/Board,7496
2015,Wyoming,Private,4-year,Fees/Tuition,16968
2015,Wyoming,Public In-State,2-year,Fees/Tuition,2694
2015,Wyoming,Public In-State,4-year,Fees/Tuition,3968
2015,Wyoming,Public In-State,4-year,Room/Board,9489
2015,Wyoming,Public Out-of-State,2-year,Fees/Tuition,6658
2015,Wyoming,Public Out-of-State,4-year,Fees/Tuition,12152
2015,Wyoming,Public Out-of-State,4-year,Room/Board,9489
2016,Alabama,Private,4-year,Fees/Tuition,15359
2016,Alabama,Private,4-year,Room/Board,9289
2016,Alabama,Public In-State,2-year,Fees/Tuition,4289
2016,Alabama,Public In-State,4-year,Fees/Tuition,9179
2016,Alabama,Public In-State,4-year,Room/Board,9330
2016,Alabama,Public Out-of-State,2-year,Fees/Tuition,8464
2016,Alabama,Public Out-of-State,4-year,Fees/Tuition,23261
2016,Alabama,Public Out-of-State,4-year,Room/Board,9330
2016,Alaska,Private,4-year,Fees/Tuition,19957
2016,Alaska,Private,4-year,Room/Board,6431
2016,Alaska,Public In-State,2-year,Fees/Tuition,3340
2016,Alaska,Public In-State,4-year,Fees/Tuition,6880
2016,Alaska,Public In-State,4-year,Room/Board,9820
2016,Alaska,Public Out-of-State,2-year,Fees/Tuition,3340
2016,Alaska,Public Out-of-State,4-year,Fees/Tuition,20463
2016,Alaska,Public Out-of-State,4-year,Room/Board,9820
2016,Arizona,Private,4-year,Fees/Tuition,12667
2016,Arizona,Private,4-year,Room/Board,9577
2016,Arizona,Public In-State,2-year,Fees/Tuition,2061
2016,Arizona,Public In-State,4-year,Fees/Tuition,9884
2016,Arizona,Public In-State,4-year,Room/Board,10737
2016,Arizona,Public Out-of-State,2-year,Fees/Tuition,8255
2016,Arizona,Public Out-of-State,4-year,Fees/Tuition,24161
2016,Arizona,Public Out-of-State,4-year,Room/Board,10737
2016,Arkansas,Private,4-year,Fees/Tuition,20936
2016,Arkansas,Private,4-year,Room/Board,7891
2016,Arkansas,Public In-State,2-year,Fees/Tuition,3105
2016,Arkansas,Public In-State,4-year,Fees/Tuition,7577
2016,Arkansas,Public In-State,4-year,Room/Board,8399
2016,Arkansas,Public Out-of-State,2-year,Fees/Tuition,4638
2016,Arkansas,Public Out-of-State,4-year,Fees/Tuition,18306
2016,Arkansas,Public Out-of-State,4-year,Room/Board,8399
2016,California,Private,4-year,Fees/Tuition,29519
2016,California,Private,4-year,Room/Board,11663
2016,California,Public In-State,2-year,Fees/Tuition,1246
2016,California,Public In-State,4-year,Fees/Tuition,9070
2016,California,Public In-State,4-year,Room/Board,13081
2016,California,Public Out-of-State,2-year,Fees/Tuition,6968
2016,California,Public Out-of-State,4-year,Fees/Tuition,31526
2016,California,Public Out-of-State,4-year,Room/Board,13081
2016,Colorado,Private,4-year,Fees/Tuition,22332
2016,Colorado,Private,4-year,Room/Board,11319
2016,Colorado,Public In-State,2-year,Fees/Tuition,3630
2016,Colorado,Public In-State,4-year,Fees/Tuition,9128
2016,Colorado,Public In-State,4-year,Room/Board,11466
2016,Colorado,Public Out-of-State,2-year,Fees/Tuition,8915
2016,Colorado,Public Out-of-State,4-year,Fees/Tuition,27986
2016,Colorado,Public Out-of-State,4-year,Room/Board,11466
2016,Connecticut,Private,4-year,Fees/Tuition,37679
2016,Connecticut,Private,4-year,Room/Board,13891
2016,Connecticut,Public In-State,2-year,Fees/Tuition,4039
2016,Connecticut,Public In-State,4-year,Fees/Tuition,11106
2016,Connecticut,Public In-State,4-year,Room/Board,12245
2016,Connecticut,Public Out-of-State,2-year,Fees/Tuition,12100
2016,Connecticut,Public Out-of-State,4-year,Fees/Tuition,32870
2016,Connecticut,Public Out-of-State,4-year,Room/Board,12245
2016,Delaware,Private,4-year,Fees/Tuition,14200
2016,Delaware,Private,4-year,Room/Board,11311
2016,Delaware,Public In-State,2-year,Fees/Tuition,3215
2016,Delaware,Public In-State,4-year,Fees/Tuition,11670
2016,Delaware,Public In-State,4-year,Room/Board,11896
2016,Delaware,Public Out-of-State,2-year,Fees/Tuition,6548
2016,Delaware,Public Out-of-State,4-year,Fees/Tuition,28962
2016,Delaware,Public Out-of-State,4-year,Room/Board,11896
2016,District of Columbia,Private,4-year,Fees/Tuition,38901
2016,District of Columbia,Private,4-year,Room/Board,14671
2016,District of Columbia,Public In-State,4-year,Fees/Tuition,5251
2016,District of Columbia,Public Out-of-State,4-year,Fees/Tuition,11233
2016,Florida,Private,4-year,Fees/Tuition,22793
2016,Florida,Private,4-year,Room/Board,11179
2016,Florida,Public In-State,2-year,Fees/Tuition,2387
2016,Florida,Public In-State,4-year,Fees/Tuition,4438
2016,Florida,Public In-State,4-year,Room/Board,10019
2016,Florida,Public Out-of-State,2-year,Fees/Tuition,8862
2016,Florida,Public Out-of-State,4-year,Fees/Tuition,17656
2016,Florida,Public Out-of-State,4-year,Room/Board,10019
2016,Georgia,Private,4-year,Fees/Tuition,25754
2016,Georgia,Private,4-year,Room/Board,11709
2016,Georgia,Public In-State,2-year,Fees/Tuition,3181
2016,Georgia,Public In-State,4-year,Fees/Tuition,7011
2016,Georgia,Public In-State,4-year,Room/Board,10281
2016,Georgia,Public Out-of-State,2-year,Fees/Tuition,7929
2016,Georgia,Public Out-of-State,4-year,Fees/Tuition,23167
2016,Georgia,Public Out-of-State,4-year,Room/Board,10281
2016,Hawaii,Private,4-year,Fees/Tuition,15561
2016,Hawaii,Private,4-year,Room/Board,12333
2016,Hawaii,Public In-State,2-year,Fees/Tuition,2935
2016,Hawaii,Public In-State,4-year,Fees/Tuition,9263
2016,Hawaii,Public In-State,4-year,Room/Board,10835
2016,Hawaii,Public Out-of-State,2-year,Fees/Tuition,7930
2016,Hawaii,Public Out-of-State,4-year,Fees/Tuition,27911
2016,Hawaii,Public Out-of-State,4-year,Room/Board,10835
2016,Idaho,Private,4-year,Fees/Tuition,6006
2016,Idaho,Private,4-year,Room/Board,7064
2016,Idaho,Public In-State,2-year,Fees/Tuition,3108
2016,Idaho,Public In-State,4-year,Fees/Tuition,6915
2016,Idaho,Public In-State,4-year,Room/Board,7296
2016,Idaho,Public Out-of-State,2-year,Fees/Tuition,7959
2016,Idaho,Public Out-of-State,4-year,Fees/Tuition,20624
2016,Idaho,Public Out-of-State,4-year,Room/Board,7296
2016,Illinois,Private,4-year,Fees/Tuition,29639
2016,Illinois,Private,4-year,Room/Board,11693
2016,Illinois,Public In-State,2-year,Fees/Tuition,3692
2016,Illinois,Public In-State,4-year,Fees/Tuition,13387
2016,Illinois,Public In-State,4-year,Room/Board,10711
2016,Illinois,Public Out-of-State,2-year,Fees/Tuition,10630
2016,Illinois,Public Out-of-State,4-year,Fees/Tuition,27909
2016,Illinois,Public Out-of-State,4-year,Room/Board,10711
2016,Indiana,Private,4-year,Fees/Tuition,30533
2016,Indiana,Private,4-year,Room/Board,10497
2016,Indiana,Public In-State,2-year,Fees/Tuition,4115
2016,Indiana,Public In-State,4-year,Fees/Tuition,8745
2016,Indiana,Public In-State,4-year,Room/Board,9967
2016,Indiana,Public Out-of-State,2-year,Fees/Tuition,7992
2016,Indiana,Public Out-of-State,4-year,Fees/Tuition,28313
2016,Indiana,Public Out-of-State,4-year,Room/Board,9967
2016,Iowa,Private,4-year,Fees/Tuition,25308
2016,Iowa,Private,4-year,Room/Board,8836
2016,Iowa,Public In-State,2-year,Fees/Tuition,4478
2016,Iowa,Public In-State,4-year,Fees/Tuition,7879
2016,Iowa,Public In-State,4-year,Room/Board,8869
2016,Iowa,Public Out-of-State,2-year,Fees/Tuition,5832
2016,Iowa,Public Out-of-State,4-year,Fees/Tuition,24136
2016,Iowa,Public Out-of-State,4-year,Room/Board,8869
2016,Kansas,Private,4-year,Fees/Tuition,17827
2016,Kansas,Private,4-year,Room/Board,8287
2016,Kansas,Public In-State,2-year,Fees/Tuition,3201
2016,Kansas,Public In-State,4-year,Fees/Tuition,8011
2016,Kansas,Public In-State,4-year,Room/Board,8772
2016,Kansas,Public Out-of-State,2-year,Fees/Tuition,4395
2016,Kansas,Public Out-of-State,4-year,Fees/Tuition,20901
2016,Kansas,Public Out-of-State,4-year,Room/Board,8772
2016,Kentucky,Private,4-year,Fees/Tuition,24258
